year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,perc
2020,Idaho,ID,Jefferson,16051,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12099,14173,20210622,TOTAL,0.8536654201651026
2020,Idaho,ID,Jerome,16053,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5734,7812,20210622,TOTAL,0.7339989759344598
2020,Idaho,ID,Kootenai,16055,PRESIDENT,DONALD J TRUMP,REPUBLICAN,62837,89467,20210622,TOTAL,0.7023483519062895
2020,Idaho,ID,Latah,16057,PRESIDENT,DONALD J TRUMP,REPUBLICAN,9472,20570,20210622,TOTAL,0.46047642197374816
2020,Idaho,ID,Lemhi,16059,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3592,4738,20210622,TOTAL,0.7581257914731955
2020,Idaho,ID,Lewis,16061,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1489,1870,20210622,TOTAL,0.7962566844919786
2020,Idaho,ID,Lincoln,16063,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1469,1940,20210622,TOTAL,0.7572164948453608
2020,Idaho,ID,Madison,16065,PRESIDENT,DONALD J TRUMP,REPUBLICAN,13559,17112,20210622,TOTAL,0.7923679289387564
2020,Idaho,ID,Minidoka,16067,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6265,7993,20210622,TOTAL,0.7838108344801702
2020,Idaho,ID,Nez Perce,16069,PRESIDENT,DONALD J TRUMP,REPUBLICAN,13738,20967,20210622,TOTAL,0.6552201077884294
2020,Idaho,ID,Oneida,16071,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2148,2451,20210622,TOTAL,0.8763769889840881
2020,Idaho,ID,Owyhee,16073,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3819,4742,20210622,TOTAL,0.8053563897089836
2020,Idaho,ID,Payette,16075,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8862,11293,20210622,TOTAL,0.7847339059594439
2020,Idaho,ID,Power,16077,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2116,3074,20210622,TOTAL,0.6883539362394274
2020,Idaho,ID,Shoshone,16079,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4216,6049,20210622,TOTAL,0.6969747065630683
