year,state,state_po,county_name,perc,party.y,date.x,death_rate,case_rate,date.y,Completeness_pct,Administered_Dose1_Recip_18PlusPop_Pct,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct
2016,Alabama,AL,Autauga,0.7276658791494814,Republican,20-11-16,6.411969008816458e-4,0.04418915308576009,5/31/2021,0.9179999999999999,0.321,0.05,0.263
2016,Alabama,AL,Baldwin,0.765457123352413,Republican,20-11-16,3.663530858705465e-4,0.03356492081975864,5/31/2021,0.9179999999999999,0.365,0.02,0.309
2016,Alabama,AL,Barbour,0.5209666634826631,Republican,20-11-16,3.6601732482004147e-4,0.045955508560738545,5/31/2021,0.9179999999999999,0.292,0.13,0.22699999999999998
2016,Alabama,AL,Bibb,0.7640322031976414,Republican,20-11-16,7.679797614745211e-4,0.04485905312612938,5/31/2021,0.9179999999999999,0.285,0.09,0.20600000000000002
2016,Alabama,AL,Blount,0.8933484445833985,Republican,20-11-16,5.874324020802019e-4,0.04447208832218939,5/31/2021,0.9179999999999999,0.237,0.05,0.191
2016,Alabama,AL,Bullock,0.24203821656050956,Republican,20-11-16,0.001904570970328789,0.06786287089013633,5/31/2021,0.9179999999999999,0.376,0.14,0.33
2016,Alabama,AL,Butler,0.5612688960146587,Republican,20-11-16,0.002102132895816243,0.05614232977850697,5/31/2021,0.9179999999999999,0.34299999999999997,0.13,0.271
2016,Alabama,AL,Calhoun,0.6866329600534848,Republican,20-11-16,6.785994412570834e-4,0.049934343300813436,5/31/2021,0.9179999999999999,0.304,0.13,0.284
2016,Alabama,AL,Chambers,0.5642446043165468,Republican,20-11-16,0.001460520310360566,0.04783204016430854,5/31/2021,0.9179999999999999,0.256,0.09,0.22399999999999998
2016,Alabama,AL,Cherokee,0.8341563402590143,Republican,20-11-16,5.704723511067163e-4,0.034684718947288355,5/31/2021,0.9179999999999999,0.257,0.05,0.223
2016,Alabama,AL,Chilton,0.8210027764167892,Republican,20-11-16,8.108655990269613e-4,0.04694010856589409,5/31/2021,0.9179999999999999,0.282,0.13,0.222
2016,Alabama,AL,Choctaw,0.5630828304991772,Republican,20-11-16,9.663391850539539e-4,0.03309711708809792,5/31/2021,0.9179999999999999,0.48,0.15,0.405
2016,Alabama,AL,Clarke,0.5479241807996317,Republican,20-11-16,7.728307071400971e-4,0.06453136404619811,5/31/2021,0.9179999999999999,0.39799999999999996,0.14,0.318
2016,Alabama,AL,Clay,0.7918176328502415,Republican,20-11-16,9.914582062233068e-4,0.0648261134838316,5/31/2021,0.9179999999999999,0.354,0.09,0.282
2016,Alabama,AL,Cleburne,0.8742605794023964,Republican,20-11-16,7.3495022382575e-4,0.045299659250350774,5/31/2021,0.9179999999999999,0.248,0.09,0.237
2016,Alabama,AL,Coffee,0.7644339577213849,Republican,20-11-16,2.630095810633102e-4,0.04095434905128687,5/31/2021,0.9179999999999999,0.312,0.09,0.254
2016,Alabama,AL,Colbert,0.6721252257676099,Republican,20-11-16,6.857844110375196e-4,0.04975546371659057,5/31/2021,0.9179999999999999,0.4,0.06,0.354
2016,Alabama,AL,Conecuh,0.5193621867881549,Republican,20-11-16,0.0011813349084465446,0.05459454898320817,5/31/2021,0.9179999999999999,0.384,0.13,0.297
2016,Alabama,AL,Coosa,0.6437547600913938,Republican,20-11-16,2.8169014084507044e-4,0.02535211267605634,5/31/2021,0.9179999999999999,0.273,0.09,0.258
2016,Alabama,AL,Covington,0.8323086574654956,Republican,20-11-16,8.665041971297048e-4,0.05532087733549959,5/31/2021,0.9179999999999999,0.278,0.13,0.233
2016,Alabama,AL,Crenshaw,0.720121270145205,Republican,20-11-16,0.0021928221621226518,0.049484686791901177,5/31/2021,0.9179999999999999,0.299,0.09,0.244
2016,Alabama,AL,Cullman,0.8710426953238455,Republican,20-11-16,3.5496657398095013e-4,0.044299828432822576,5/31/2021,0.9179999999999999,0.276,0.09,0.258
2016,Alabama,AL,Dale,0.7364659448503921,Republican,20-11-16,0.0011029637043240262,0.0446291795175555,5/31/2021,0.9179999999999999,0.43700000000000006,0.14,0.371
2016,Alabama,AL,Dallas,0.308056619838229,Republican,20-11-16,7.75666241897058e-4,0.057233087705690064,5/31/2021,0.9179999999999999,0.39399999999999996,0.13,0.264
2016,Alabama,AL,Elmore,0.7416532474503489,Republican,20-11-16,7.424718225857494e-4,0.04486477275493561,5/31/2021,0.9179999999999999,0.34,0.09,0.284
2016,Alabama,AL,Escambia,0.6692489053553385,Republican,20-11-16,8.544417188059866e-4,0.05187288112235054,5/31/2021,0.9179999999999999,0.32,0.13,0.248
2016,Alabama,AL,Etowah,0.7325649850557014,Republican,20-11-16,5.958718777778863e-4,0.05257348272459974,5/31/2021,0.9179999999999999,0.309,0.09,0.273
2016,Alabama,AL,Fayette,0.813674384773912,Republican,20-11-16,9.235884489871314e-4,0.04611784988609076,5/31/2021,0.9179999999999999,0.259,0.09,0.23800000000000002
2016,Alabama,AL,Franklin,0.7862126245847176,Republican,20-11-16,0.0010473862951090233,0.07439616593138033,5/31/2021,0.9179999999999999,0.37799999999999995,0.14,0.316
2016,Alabama,AL,Geneva,0.8499744854567103,Republican,20-11-16,3.0290409299155657e-4,0.04217939494907425,5/31/2021,0.9179999999999999,0.316,0.13,0.272
2016,Alabama,AL,Greene,0.17172131147540984,Republican,20-11-16,0.002127659574468085,0.04718397997496871,5/31/2021,0.9179999999999999,0.467,0.14,0.358
