year,state_name,state_po,county_name,county_fips,office,candidate,party,candidatevotes,total_votes,version,mode,perc,state,match,mask,republican,democrat,may_1_cutoff
2020,GEORGIA,GA,LINCOLN,13181,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1832,4650,20210622,ADVANCED VOTING,0.393978495,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LINCOLN,13181,PRESIDENT,DONALD J TRUMP,REPUBLICAN,904,4650,20210622,ELECTION DAY,0.194408602,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LINCOLN,13181,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1,4650,20210622,PROV,0.000215054,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LONG,13183,PRESIDENT,DONALD J TRUMP,REPUBLICAN,290,5656,20210622,ABSENTEE,0.051272984,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LONG,13183,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2102,5656,20210622,ADVANCED VOTING,0.371640736,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LONG,13183,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1126,5656,20210622,ELECTION DAY,0.199080622,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LONG,13183,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10,5656,20210622,PROV,0.001768034,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LOWNDES,13185,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3379,46355,20210622,ABSENTEE,0.07289397,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LOWNDES,13185,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16795,46355,20210622,ADVANCED VOTING,0.362312588,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LOWNDES,13185,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5351,46355,20210622,ELECTION DAY,0.115435228,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LOWNDES,13185,PRESIDENT,DONALD J TRUMP,REPUBLICAN,166,46355,20210622,PROV,0.003581059,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LUMPKIN,13187,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2022,15531,20210622,ABSENTEE,0.13019123,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LUMPKIN,13187,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8138,15531,20210622,ADVANCED VOTING,0.523984289,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LUMPKIN,13187,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2002,15531,20210622,ELECTION DAY,0.128903483,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,LUMPKIN,13187,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1,15531,20210622,PROV,6.43874E-05,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MCDUFFIE,13189,PRESIDENT,DONALD J TRUMP,REPUBLICAN,898,10455,20210622,ABSENTEE,0.085891918,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MCDUFFIE,13189,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4445,10455,20210622,ADVANCED VOTING,0.425155428,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MCDUFFIE,13189,PRESIDENT,DONALD J TRUMP,REPUBLICAN,826,10455,20210622,ELECTION DAY,0.079005261,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MCDUFFIE,13189,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,10455,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MCINTOSH,13191,PRESIDENT,DONALD J TRUMP,REPUBLICAN,834,6696,20210622,ABSENTEE,0.124551971,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MCINTOSH,13191,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2371,6696,20210622,ADVANCED VOTING,0.354091995,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MCINTOSH,13191,PRESIDENT,DONALD J TRUMP,REPUBLICAN,810,6696,20210622,ELECTION DAY,0.120967742,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MCINTOSH,13191,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1,6696,20210622,PROV,0.000149343,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MACON,13193,PRESIDENT,DONALD J TRUMP,REPUBLICAN,139,4662,20210622,ABSENTEE,0.02981553,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MACON,13193,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1296,4662,20210622,ADVANCED VOTING,0.277992278,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MACON,13193,PRESIDENT,DONALD J TRUMP,REPUBLICAN,348,4662,20210622,ELECTION DAY,0.074646075,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MACON,13193,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,4662,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MADISON,13195,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1718,14937,20210622,ABSENTEE,0.115016402,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MADISON,13195,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6103,14937,20210622,ADVANCED VOTING,0.408582714,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MADISON,13195,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3502,14937,20210622,ELECTION DAY,0.234451362,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MADISON,13195,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3,14937,20210622,PROV,0.000200844,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MARION,13197,PRESIDENT,DONALD J TRUMP,REPUBLICAN,295,3624,20210622,ABSENTEE,0.081401766,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MARION,13197,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1221,3624,20210622,ADVANCED VOTING,0.33692053,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MARION,13197,PRESIDENT,DONALD J TRUMP,REPUBLICAN,759,3624,20210622,ELECTION DAY,0.209437086,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MARION,13197,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,3624,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MERIWETHER,13199,PRESIDENT,DONALD J TRUMP,REPUBLICAN,980,10877,20210622,ABSENTEE,0.090098373,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MERIWETHER,13199,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3312,10877,20210622,ADVANCED VOTING,0.304495725,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MERIWETHER,13199,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2230,10877,20210622,ELECTION DAY,0.205019766,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MERIWETHER,13199,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2,10877,20210622,PROV,0.000183874,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MILLER,13201,PRESIDENT,DONALD J TRUMP,REPUBLICAN,264,2835,20210622,ABSENTEE,0.093121693,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MILLER,13201,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1269,2835,20210622,ADVANCED VOTING,0.447619048,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MILLER,13201,PRESIDENT,DONALD J TRUMP,REPUBLICAN,530,2835,20210622,ELECTION DAY,0.186948854,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MILLER,13201,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3,2835,20210622,PROV,0.001058201,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MITCHELL,13205,PRESIDENT,DONALD J TRUMP,REPUBLICAN,681,8963,20210622,ABSENTEE,0.075979025,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MITCHELL,13205,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2701,8963,20210622,ADVANCED VOTING,0.301349994,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MITCHELL,13205,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1551,8963,20210622,ELECTION DAY,0.173044739,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MITCHELL,13205,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2,8963,20210622,PROV,0.00022314,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MONROE,13207,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1062,15592,20210622,ABSENTEE,0.068111852,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MONROE,13207,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6890,15592,20210622,ADVANCED VOTING,0.441893279,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MONROE,13207,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3102,15592,20210622,ELECTION DAY,0.198948179,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MONROE,13207,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6,15592,20210622,PROV,0.000384813,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MONTGOMERY,13209,PRESIDENT,DONALD J TRUMP,REPUBLICAN,356,3966,20210622,ABSENTEE,0.089762985,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MONTGOMERY,13209,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1495,3966,20210622,ADVANCED VOTING,0.37695411,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MONTGOMERY,13209,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1109,3966,20210622,ELECTION DAY,0.279626828,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MONTGOMERY,13209,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,3966,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MORGAN,13211,PRESIDENT,DONALD J TRUMP,REPUBLICAN,938,11707,20210622,ABSENTEE,0.080123003,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MORGAN,13211,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5424,11707,20210622,ADVANCED VOTING,0.463312548,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MORGAN,13211,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1865,11707,20210622,ELECTION DAY,0.159306398,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MORGAN,13211,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3,11707,20210622,PROV,0.000256257,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MURRAY,13213,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1361,15389,20210622,ABSENTEE,0.088439795,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MURRAY,13213,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7689,15389,20210622,ADVANCED VOTING,0.499642602,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MURRAY,13213,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3893,15389,20210622,ELECTION DAY,0.252972903,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MURRAY,13213,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,15389,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MUSCOGEE,13215,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6399,80543,20210622,ABSENTEE,0.079448245,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MUSCOGEE,13215,PRESIDENT,DONALD J TRUMP,REPUBLICAN,17106,80543,20210622,ADVANCED VOTING,0.212383447,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MUSCOGEE,13215,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6527,80543,20210622,ELECTION DAY,0.081037458,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,MUSCOGEE,13215,PRESIDENT,DONALD J TRUMP,REPUBLICAN,17,80543,20210622,PROV,0.000211067,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,NEWTON,13217,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4860,54239,20210622,ABSENTEE,0.089603422,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,NEWTON,13217,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8103,54239,20210622,ADVANCED VOTING,0.149394347,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,NEWTON,13217,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10888,54239,20210622,ELECTION DAY,0.200741164,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,NEWTON,13217,PRESIDENT,DONALD J TRUMP,REPUBLICAN,18,54239,20210622,PROV,0.000331865,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,OCONEE,13219,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2696,25168,20210622,ABSENTEE,0.107120153,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,OCONEE,13219,PRESIDENT,DONALD J TRUMP,REPUBLICAN,11216,25168,20210622,ADVANCED VOTING,0.445645264,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,OCONEE,13219,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2680,25168,20210622,ELECTION DAY,0.106484425,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,OCONEE,13219,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3,25168,20210622,PROV,0.000119199,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,OGLETHORPE,13221,PRESIDENT,DONALD J TRUMP,REPUBLICAN,946,8131,20210622,ABSENTEE,0.116344853,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,OGLETHORPE,13221,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3584,8131,20210622,ADVANCED VOTING,0.440782192,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,OGLETHORPE,13221,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1061,8131,20210622,ELECTION DAY,0.130488255,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,OGLETHORPE,13221,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2,8131,20210622,PROV,0.000245972,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PAULDING,13223,PRESIDENT,DONALD J TRUMP,REPUBLICAN,9582,85385,20210622,ABSENTEE,0.112221116,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PAULDING,13223,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35174,85385,20210622,ADVANCED VOTING,0.411945892,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PAULDING,13223,PRESIDENT,DONALD J TRUMP,REPUBLICAN,9710,85385,20210622,ELECTION DAY,0.113720208,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PAULDING,13223,PRESIDENT,DONALD J TRUMP,REPUBLICAN,59,85385,20210622,PROV,0.000690988,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PEACH,13225,PRESIDENT,DONALD J TRUMP,REPUBLICAN,810,12545,20210622,ABSENTEE,0.064567557,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PEACH,13225,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4728,12545,20210622,ADVANCED VOTING,0.37688322,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PEACH,13225,PRESIDENT,DONALD J TRUMP,REPUBLICAN,954,12545,20210622,ELECTION DAY,0.076046234,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PEACH,13225,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10,12545,20210622,PROV,0.00079713,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PICKENS,13227,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1786,17116,20210622,ABSENTEE,0.10434681,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PICKENS,13227,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6287,17116,20210622,ADVANCED VOTING,0.36731713,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PICKENS,13227,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5994,17116,20210622,ELECTION DAY,0.350198645,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PICKENS,13227,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8,17116,20210622,PROV,0.000467399,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PIERCE,13229,PRESIDENT,DONALD J TRUMP,REPUBLICAN,923,9048,20210622,ABSENTEE,0.102011494,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PIERCE,13229,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5768,9048,20210622,ADVANCED VOTING,0.637488948,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PIERCE,13229,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1208,9048,20210622,ELECTION DAY,0.133510168,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PIERCE,13229,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,9048,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PIKE,13231,PRESIDENT,DONALD J TRUMP,REPUBLICAN,919,10720,20210622,ABSENTEE,0.085727612,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PIKE,13231,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5864,10720,20210622,ADVANCED VOTING,0.547014925,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PIKE,13231,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2341,10720,20210622,ELECTION DAY,0.218376866,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PIKE,13231,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3,10720,20210622,PROV,0.000279851,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,POLK,13233,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1707,17399,20210622,ABSENTEE,0.098109087,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,POLK,13233,PRESIDENT,DONALD J TRUMP,REPUBLICAN,9021,17399,20210622,ADVANCED VOTING,0.518478073,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,POLK,13233,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2849,17399,20210622,ELECTION DAY,0.163745043,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,POLK,13233,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12,17399,20210622,PROV,0.000689695,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PULASKI,13235,PRESIDENT,DONALD J TRUMP,REPUBLICAN,313,4059,20210622,ABSENTEE,0.077112589,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PULASKI,13235,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2155,4059,20210622,ADVANCED VOTING,0.530918946,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PULASKI,13235,PRESIDENT,DONALD J TRUMP,REPUBLICAN,336,4059,20210622,ELECTION DAY,0.08277901,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PULASKI,13235,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1,4059,20210622,PROV,0.000246366,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PUTNAM,13237,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1760,11855,20210622,ABSENTEE,0.148460565,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PUTNAM,13237,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4983,11855,20210622,ADVANCED VOTING,0.420328975,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PUTNAM,13237,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1547,11855,20210622,ELECTION DAY,0.130493463,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,PUTNAM,13237,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1,11855,20210622,PROV,8.43526E-05,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,QUITMAN,13239,PRESIDENT,DONALD J TRUMP,REPUBLICAN,88,1106,20210622,ABSENTEE,0.079566004,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,QUITMAN,13239,PRESIDENT,DONALD J TRUMP,REPUBLICAN,353,1106,20210622,ADVANCED VOTING,0.319168174,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,QUITMAN,13239,PRESIDENT,DONALD J TRUMP,REPUBLICAN,163,1106,20210622,ELECTION DAY,0.147377939,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,QUITMAN,13239,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,1106,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RABUN,13241,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1663,9568,20210622,ABSENTEE,0.173808528,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RABUN,13241,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4604,9568,20210622,ADVANCED VOTING,0.481187291,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RABUN,13241,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1207,9568,20210622,ELECTION DAY,0.126149666,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RABUN,13241,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,9568,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RANDOLPH,13243,PRESIDENT,DONALD J TRUMP,REPUBLICAN,214,3074,20210622,ABSENTEE,0.069616135,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RANDOLPH,13243,PRESIDENT,DONALD J TRUMP,REPUBLICAN,856,3074,20210622,ADVANCED VOTING,0.278464541,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RANDOLPH,13243,PRESIDENT,DONALD J TRUMP,REPUBLICAN,321,3074,20210622,ELECTION DAY,0.104424203,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RANDOLPH,13243,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,3074,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RICHMOND,13245,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6233,87016,20210622,ABSENTEE,0.071630505,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RICHMOND,13245,PRESIDENT,DONALD J TRUMP,REPUBLICAN,11931,87016,20210622,ADVANCED VOTING,0.137112715,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RICHMOND,13245,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8584,87016,20210622,ELECTION DAY,0.098648524,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,RICHMOND,13245,PRESIDENT,DONALD J TRUMP,REPUBLICAN,33,87016,20210622,PROV,0.000379241,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,ROCKDALE,13247,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3005,44686,20210622,ABSENTEE,0.067247012,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,ROCKDALE,13247,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7466,44686,20210622,ADVANCED VOTING,0.167076937,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,ROCKDALE,13247,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2526,44686,20210622,ELECTION DAY,0.056527772,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,ROCKDALE,13247,PRESIDENT,DONALD J TRUMP,REPUBLICAN,15,44686,20210622,PROV,0.000335676,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SCHLEY,13249,PRESIDENT,DONALD J TRUMP,REPUBLICAN,154,2275,20210622,ABSENTEE,0.067692308,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SCHLEY,13249,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1341,2275,20210622,ADVANCED VOTING,0.589450549,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SCHLEY,13249,PRESIDENT,DONALD J TRUMP,REPUBLICAN,304,2275,20210622,ELECTION DAY,0.133626374,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SCHLEY,13249,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1,2275,20210622,PROV,0.00043956,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SCREVEN,13251,PRESIDENT,DONALD J TRUMP,REPUBLICAN,505,6628,20210622,ABSENTEE,0.076191913,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SCREVEN,13251,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2140,6628,20210622,ADVANCED VOTING,0.322872661,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SCREVEN,13251,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1260,6628,20210622,ELECTION DAY,0.190102595,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SCREVEN,13251,PRESIDENT,DONALD J TRUMP,REPUBLICAN,11,6628,20210622,PROV,0.001659626,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SEMINOLE,13253,PRESIDENT,DONALD J TRUMP,REPUBLICAN,277,3884,20210622,ABSENTEE,0.071318229,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SEMINOLE,13253,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1390,3884,20210622,ADVANCED VOTING,0.357878476,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SEMINOLE,13253,PRESIDENT,DONALD J TRUMP,REPUBLICAN,944,3884,20210622,ELECTION DAY,0.243048404,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SEMINOLE,13253,PRESIDENT,DONALD J TRUMP,REPUBLICAN,0,3884,20210622,PROV,0,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SPALDING,13255,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3490,30116,20210622,ABSENTEE,0.115885244,REPUBLICAN,1,0,0,#N/A,0
2020,GEORGIA,GA,SPALDING,13255,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8801,30116,20210622,ADVANCED VOTING,0.292236685,REPUBLICAN,1,0,0,#N/A,0
