year,state_name,state_po,county_name,county_fips,office,candidate,party,candidatevotes,total_votes,version,mode,perc,state,match,mask,republican,democrat,may_1_cutoff
2020,ALABAMA,AL,HENRY,1067,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6607,9298,20210622,TOTAL,0.710582921,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,HOUSTON,1069,PRESIDENT,DONALD J TRUMP,REPUBLICAN,32618,46173,20210622,TOTAL,0.706430165,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,JACKSON,1071,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19670,23636,20210622,TOTAL,0.832205111,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,DONALD J TRUMP,REPUBLICAN,138843,325848,20210622,TOTAL,0.426097444,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,LAMAR,1075,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6174,7193,20210622,TOTAL,0.858334492,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,LAUDERDALE,1077,PRESIDENT,DONALD J TRUMP,REPUBLICAN,31721,44339,20210622,TOTAL,0.715419834,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,LAWRENCE,1079,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12322,16031,20210622,TOTAL,0.768635768,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,LEE,1081,PRESIDENT,DONALD J TRUMP,REPUBLICAN,42221,71449,20210622,TOTAL,0.590924995,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,LIMESTONE,1083,PRESIDENT,DONALD J TRUMP,REPUBLICAN,34640,49235,20210622,TOTAL,0.703564537,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,LOWNDES,1085,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1836,6835,20210622,TOTAL,0.26861741,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MACON,1087,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1541,8723,20210622,TOTAL,0.176659406,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MADISON,1089,PRESIDENT,DONALD J TRUMP,REPUBLICAN,102780,194767,20210622,TOTAL,0.527707466,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MARENGO,1091,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5343,10900,20210622,TOTAL,0.490183486,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MARION,1093,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12205,13807,20210622,TOTAL,0.883971898,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MARSHALL,1095,PRESIDENT,DONALD J TRUMP,REPUBLICAN,33191,39655,20210622,TOTAL,0.836994074,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MOBILE,1097,PRESIDENT,DONALD J TRUMP,REPUBLICAN,101243,183164,20210622,TOTAL,0.552745081,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MONROE,1099,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6147,10668,20210622,TOTAL,0.576209224,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MONTGOMERY,1101,PRESIDENT,DONALD J TRUMP,REPUBLICAN,33311,99139,20210622,TOTAL,0.336002986,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,MORGAN,1103,PRESIDENT,DONALD J TRUMP,REPUBLICAN,39664,53722,20210622,TOTAL,0.738319497,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,PERRY,1105,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1339,5230,20210622,TOTAL,0.256022945,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,PICKENS,1107,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5594,9668,20210622,TOTAL,0.578609847,REPUBLICAN,1,0,0,#N/A,0
